Child_Term,Parent_Term,Relation
GO:0034457,GO:0043234,is_a
GO:0034456,GO:0030686,part_of
GO:0034456,GO:0044452,is_a
GO:0034456,GO:0043234,is_a
GO:0034455,GO:0030686,part_of
GO:0034455,GO:0044452,is_a
GO:0034455,GO:0043234,is_a
GO:0034388,GO:0030686,part_of
GO:0034388,GO:0044452,is_a
GO:0034388,GO:0043234,is_a
GO:0030692,GO:0030688,part_of
GO:0030692,GO:0030686,part_of
GO:0030692,GO:0030689,is_a
GO:0030692,GO:0044452,is_a
GO:0030692,GO:0044444,is_a
GO:0030690,GO:0030687,part_of
GO:0030690,GO:0030686,part_of
GO:0030690,GO:0030689,is_a
GO:0030690,GO:0044452,is_a
GO:0030690,GO:0044444,is_a
GO:0031428,GO:0005732,is_a
GO:0031428,GO:0044452,is_a
